№,Секунда,Микросекунда
1,21,646580
2,21,646586
3,21,646589
4,21,646591
5,21,646594
6,21,646596
7,21,646597
8,21,646599
9,21,646601
10,21,646603
11,21,646605
12,21,646607
13,21,646609
14,21,646611
15,21,646613
16,21,646615
17,21,646617
18,21,646619
19,21,646621
20,21,646623
21,21,646624
22,21,646626
23,21,646628
24,21,646630
25,21,646632
26,21,646634
27,21,646636
28,21,646638
29,21,646640
30,21,646642
31,21,646643
32,21,646645
33,21,646647
34,21,646649
35,21,646651
36,21,646653
37,21,646655
38,21,646657
39,21,646658
40,21,646660
41,21,646662
42,21,646664
43,21,646666
44,21,646668
45,21,646670
46,21,646672
47,21,646673
48,21,646675
49,21,646677
50,21,646679
51,21,646681
52,21,646683
53,21,646685
54,21,646687
55,21,646689
56,21,646691
57,21,646692
58,21,646694
59,21,646696
60,21,646698
61,21,646700
62,21,646702
63,21,646706
64,21,646708
65,21,646710
66,21,646712
67,21,646714
68,21,646716
69,21,646718
70,21,646720
71,21,646721
72,21,646723
73,21,646725
74,21,646727
75,21,646729
76,21,646731
77,21,646733
78,21,646735
79,21,646737
80,21,646739
81,21,646741
82,21,646743
83,21,646745
84,21,646747
85,21,646749
86,21,646750
87,21,646752
88,21,646754
89,21,646756
90,21,646758
91,21,646760
92,21,646762
93,21,646764
94,21,646766
95,21,646768
96,21,646770
97,21,646771
98,21,646773
99,21,646775
100,21,646777
101,21,646779
102,21,646781
103,21,646783
104,21,646785
105,21,646787
106,21,646789
107,21,646791
108,21,646793
109,21,646795
110,21,646797
111,21,646799
112,21,646801
113,21,646803
114,21,646805
115,21,646807
116,21,646808
117,21,646810
118,21,646812
119,21,646814
120,21,646816
121,21,646818
122,21,646820
123,21,646822
124,21,646824
125,21,646826
126,21,646829
127,21,646831
128,21,646833
129,21,646836
130,21,646838
131,21,646840
132,21,646842
133,21,646844
134,21,646845
135,21,646847
136,21,646849
137,21,646851
138,21,646853
139,21,646855
140,21,646857
141,21,646859
142,21,646861
143,21,646862
144,21,646864
145,21,646866
146,21,646868
147,21,646870
148,21,646872
149,21,646874
150,21,646876
151,21,646878
152,21,646880
153,21,646882
154,21,646883
155,21,646885
156,21,646887
157,21,646889
158,21,646891
159,21,646893
160,21,646895
161,21,646897
162,21,646899
163,21,646900
164,21,646902
165,21,646904
166,21,646906
167,21,646908
168,21,646910
169,21,646912
170,21,646914
171,21,646915
172,21,646917
173,21,646919
174,21,646921
175,21,646923
176,21,646925
177,21,646927
178,21,646929
179,21,646931
180,21,646933
181,21,646934
182,21,646936
183,21,646938
184,21,646940
185,21,646942
186,21,646944
187,21,646946
188,21,646948
189,21,646950
190,21,646953
191,21,646955
192,21,646957
193,21,646959
194,21,646960
195,21,646962
196,21,646964
197,21,646966
198,21,646968
199,21,646970
200,21,646972
201,21,646974
202,21,646976
203,21,646978
204,21,646980
205,21,646981
206,21,646983
207,21,646985
208,21,646987
209,21,646989
210,21,646991
211,21,646993
212,21,646995
213,21,646997
214,21,646998
215,21,647000
216,21,647002
217,21,647004
218,21,647006
219,21,647008
220,21,647010
221,21,647011
222,21,647013
223,21,647015
224,21,647017
225,21,647019
226,21,647021
227,21,647023
228,21,647025
229,21,647026
230,21,647028
231,21,647030
232,21,647032
233,21,647034
234,21,647036
235,21,647038
236,21,647040
237,21,647042
238,21,647044
239,21,647046
240,21,647047
241,21,647049
242,21,647068
243,21,647070
244,21,647071
245,21,647073
246,21,647075
247,21,647077
248,21,647079
249,21,647081
250,21,647083
251,21,647085
252,21,647087
253,21,647089
254,21,647092
255,21,647094
256,21,647096
257,21,647098
258,21,647100
259,21,647102
260,21,647104
261,21,647106
262,21,647108
263,21,647110
264,21,647112
265,21,647114
266,21,647115
267,21,647117
268,21,647119
269,21,647122
270,21,647124
271,21,647125
272,21,647127
273,21,647129
274,21,647131
275,21,647133
276,21,647135
277,21,647137
278,21,647139
279,21,647141
280,21,647143
281,21,647145
282,21,647147
283,21,647149
284,21,647151
285,21,647153
286,21,647155
287,21,647157
288,21,647159
289,21,647161
290,21,647163
291,21,647165
292,21,647166
293,21,647168
294,21,647170
295,21,647172
296,21,647174
297,21,647176
298,21,647178
299,21,647180
300,21,647182
